arco-íris;fenômeno
alarme;objeto
almofada;objeto
apostar;verbo
arquivo;objeto
açaí;comida
banco;objeto
borracha;objeto
bueiro;objeto
burguês;adjetivo
camarão;animal
cavalo;animal
computador;objeto
construir; verbo
dançarino;profissão
desenvolver;verbo
dicionário;objeto
escrivaninha;objeto
fichário;objeto
gambá;animal
giz;objeto
hipopótamo;animal
ímã;objeto
lápis;objeto
levantar;verbo
macacão;objeto
macaco;animal
mochila;objeto
perder;verbo
relógio;objeto
taxista;profissão
vinho;comida
picolé;comida
tubarão;animal
pintor;profissão
coração;órgão
apêndice;órgão
bexiga;órgão
joelho;órgão
melancia;comida
faca;objeto
toalha;objeto
dromedário;animal
amálgama;química
holanda;país
méxico;país
venezuela;país
dedão;órgão
turquia;país
síria;país
lêmure;animal
serpente;animal
universitária;carol
sorvete;comida
borracha;objeto
japão;país
rafa;tio
esperanto;idioma
polonês;idioma
amarelo;cor
attack on titan;anime
one punch man;anime
neon genesis evangelion;anime
dragon ball z;anime
naruto;anime
pokémon;anime
death note;anime
zenão de cítio;filósofo
marco aurélio;filósofo
epiteto;filósofo
